PRODUCT_ID,PRODUCT_GROUP,YEAR,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12
1,1,2015,74828,70465,23898,71107,73636,50588,45505,8337,11450,70479,49275,96558
1,1,2016,15485,754,36470,21788,57358,56450,99153,7755,91109,17225,72344,39803
2,1,2015,36565,370,61339,36257,16191,49445,27096,78317,2646,21375,23944,40986
2,1,2016,28547,86126,36233,3919,88196,84057,99289,92528,9593,40724,40736,57184
3,0,2015,785,11994,89007,25193,20380,54395,62489,91119,4021,4592,35631,6348
3,0,2016,35930,93660,96958,70826,44098,29998,35745,28666,36185,54147,76877,8050
4,0,2015,89699,38726,43160,11678,15577,29212,60301,51785,99712,38857,37035,38494
5,8,2015,77396,98275,18417,37473,99139,23453,28618,1690,91051,47080,65443,59045
5,8,2016,46132,82772,43013,74542,20367,95826,49904,62008,5175,84181,25399,84408
5,8,2017,55827,60134,14680,56868,77039,35724,73056,95950,49448,26762,75815,94200
6,4,2015,45648,37401,89516,52284,34447,34531,79436,54194,39457,27235,88557,67511
6,4,2016,83121,5656,29543,3023,47749,6318,62495,73020,31992,6917,82374,7875
6,4,2017,52168,98176,37929,36230,14488,77871,15054,73281,66832,1224,32471,36944
7,3,2015,24617,78793,25390,24463,42811,38496,17547,95179,70002,11987,62130,48959
8,5,2015,35242,23391,10114,84751,70122,54235,23775,93974,36386,61015,63910,75217
8,5,2016,30248,81125,32982,25226,84883,57317,5207,31354,51667,33140,90626,46544
8,5,2017,9247,95127,96572,80230,79419,37758,60522,90049,62721,26053,15565,15471
8,5,2018,34863,74642,6724,32786,24446,20560,56432,45767,42513,48311,73278,58691
9,1,2015,23748,66328,54050,9791,21989,94367,48883,66887,6766,36074,2100,87175
10,9,2015,14348,78789,20517,19216,22580,92672,52812,67927,90678,16311,78788,4864
10,9,2016,95905,63398,75501,18921,34651,3680,98322,13673,17921,88999,59551,90323
10,9,2017,32916,88995,99066,99904,9699,26813,45632,36989,77931,66577,23921,65626
11,4,2015,77486,41999,66715,22744,94424,82450,73066,16091,75463,67103,96701,44717
11,4,2016,16130,34400,77573,70271,12049,26246,35097,27163,33968,54299,13958,29440
11,4,2017,87737,5015,54659,39820,90309,68020,77108,10269,47849,34560,60573,37557
11,4,2018,83310,86395,71455,52186,50187,48294,86426,19099,96393,79105,29650,56182
12,1,2015,35144,28436,96906,61181,81628,14142,28203,81187,26728,19461,80049,29731
12,1,2016,62833,33691,94283,59469,11993,14623,70011,22788,11156,58686,56650,96320
12,1,2017,24277,411,28268,96268,36215,15399,60334,86680,32560,42072,93835,51647
12,1,2018,93235,76780,17272,51408,85394,80238,11075,42588,26768,24456,87645,53941
13,9,2015,67271,15141,65654,87367,93502,91432,77742,95633,64035,79625,72646,21863
14,4,2015,3482,18013,80242,9826,55363,13663,66729,33136,54494,70734,49962,83944
14,4,2016,69671,84206,91451,22399,2149,32670,58499,77309,20467,81649,68725,70243
14,4,2017,21819,37915,65317,32421,15645,54679,86060,12637,96725,48546,95165,21279
15,6,2015,8869,11409,49149,39655,15641,82884,68790,79726,35513,18749,88053,97972
15,6,2016,29827,89708,27587,45582,58672,33707,68361,66324,11882,77867,26491,89252
15,6,2017,5571,6947,89609,43767,81184,41635,60566,43024,88896,73547,29466,29082
16,4,2015,29945,22376,68483,91011,2293,69045,4643,70402,73759,97156,33824,6641
16,4,2016,37836,42563,57763,29370,92814,29171,69302,68850,9140,99257,27345,10312
16,4,2017,44431,3299,95967,42384,7056,87918,16334,19680,17805,20321,12698,46744
17,1,2015,31305,52029,63845,63296,83360,54323,23393,87839,32323,95778,34516,38145
18,9,2015,58863,62737,2726,99646,89276,94132,37221,77876,76947,38694,42437,62600
18,9,2016,87399,67685,31030,58120,78201,82082,20113,13017,32923,98762,16841,50168
19,5,2015,38816,56773,4824,62673,86992,97807,90238,63465,15512,2167,91805,54630
19,5,2016,37810,33733,69013,96472,61696,27556,12656,90262,91294,54984,78049,80526
19,5,2017,85740,85756,98519,9688,57435,37417,27347,57289,69784,96820,48757,82607
20,6,2015,6396,32127,17071,63366,13370,33206,6285,36864,80340,40896,517,19107
21,8,2015,843,30071,37988,79851,29235,7522,84691,98847,65448,24355,69906,37725
21,8,2016,65437,51642,23967,157,98782,83592,75168,80254,64344,40755,47461,29925
21,8,2017,63967,97677,8209,87954,75741,26462,33832,89806,23214,15474,4098,16304
21,8,2018,25900,55579,5148,31891,33605,99164,40977,63429,4824,77017,94331,27455
22,1,2015,57432,75183,94917,84127,97221,84001,7520,37878,94473,79243,61096,73559
22,1,2016,29147,24061,67078,2111,98093,48004,37101,49783,45063,74359,875,96363
22,1,2017,29167,47199,48848,30359,64614,14777,56666,75251,797,90948,41633,11993
22,1,2018,77720,14999,89068,65626,71098,5011,48474,82945,72,79329,23292,57329
23,1,2015,84863,54431,89368,67905,70104,2275,75746,77604,7195,50676,49234,48598
23,1,2016,63017,56602,82790,81783,501,15643,30909,29259,72332,48799,20162,40282
24,6,2015,21279,54974,37171,62657,86195,94024,56810,40632,82046,67658,31240,58410
25,9,2015,65303,70049,78293,64911,31308,33600,81825,74295,60701,48904,17819,54626
25,9,2016,44817,50880,8839,38548,69457,7569,28773,80799,12252,27021,2363,14733
25,9,2017,12424,51625,80490,45635,47885,79573,92206,70620,18564,9088,38570,40915
25,9,2018,90371,90656,93716,15432,66470,51167,79882,10641,77748,18403,11145,48416
26,2,2015,77044,55059,82451,5558,9527,61735,22925,54744,93888,76050,88099,52221
26,2,2016,4163,32754,28879,36263,1503,35238,25327,8653,72240,12466,22228,70855
26,2,2017,11807,37241,42667,976,56540,42363,72793,79173,57398,48044,76731,77833
26,2,2018,51683,94926,58030,26983,57118,19816,66749,4758,39877,1237,23409,68783
27,8,2015,70745,55797,65570,59126,82314,24007,35209,38659,32395,96807,69006,52116
27,8,2016,48786,14725,51516,55499,8477,66329,37492,95317,32756,76419,73355,17262
27,8,2017,39343,44228,42045,51744,25068,87446,3013,53315,93997,4253,56411,75410
27,8,2018,55483,60683,48154,28116,32574,3616,50681,30924,54256,85425,59510,47700
28,8,2015,43518,76743,68154,94640,75077,5808,33437,1111,32341,86933,75323,56372
28,8,2016,60588,74253,76131,85477,68920,58359,1532,37559,12107,79842,48484,43659
28,8,2017,93074,19164,76624,85733,64393,98,45722,83461,88242,47578,1135,61961
29,5,2015,27214,88578,37621,47296,54802,2872,97770,30380,47267,11127,10982,23541
30,2,2015,30324,68339,10698,94246,17446,11336,61038,56203,26092,96505,22605,68107
30,2,2016,23207,81072,30899,9542,89257,61515,67563,84351,24766,59765,80725,16326
30,2,2017,32538,67379,68010,17569,29470,56233,53395,78169,642,3300,69688,35857
30,2,2018,76449,75636,11607,21923,31522,92309,39812,33678,47094,11185,18455,5455
31,3,2015,9084,14445,41764,95997,81427,11397,81038,59675,57296,97085,27859,58064
31,3,2016,53239,66097,48794,49579,14330,30920,30396,29943,8230,93039,1355,15314
31,3,2017,74375,3513,52092,41009,36029,54439,84718,96357,93123,78645,68152,69611
32,5,2015,91164,5390,27803,71420,47753,16420,69805,48131,27072,36381,77068,63336
33,0,2015,21523,99014,20286,79242,41436,69129,89521,96239,97874,51421,37265,65916
33,0,2016,91018,25469,34209,5735,17749,51949,42035,71248,12328,98007,23142,73690
33,0,2017,82311,47746,91567,70047,8983,98435,97099,31916,11085,61772,14554,97550
34,1,2015,78541,52250,88847,25396,30969,8811,30723,37593,98064,74402,50766,79965
34,1,2016,82206,40530,73019,17942,76451,73457,48974,69340,73764,27490,84193,98528
34,1,2017,26481,77618,22993,74912,22181,28175,63526,84286,31745,3081,59401,89223
35,0,2015,42297,6375,46606,14208,65774,79980,41523,40099,19518,456,63998,16852
35,0,2016,82467,46174,62890,59718,18698,90208,69246,79608,2552,36543,86512,17941
36,9,2015,6297,61498,4014,7440,70449,71075,70412,56657,97651,88818,22383,77325
36,9,2016,2361,10334,31216,69705,40894,48890,74642,65243,73570,50026,26409,34777
36,9,2017,77299,66910,45329,72880,65662,46854,61561,42705,57714,68317,39679,86609
36,9,2018,49948,58272,13107,84845,44354,99204,91571,36550,58339,62166,39838,78887
37,9,2015,61733,34280,13225,17131,57069,2998,28767,84821,38157,67201,73336,84666
37,9,2016,82526,45467,52864,95791,53995,76880,77638,4767,38293,49586,82152,55587
